NOMBRE,GARMINCODE,GIROTIPO,TELEFONO,NOMBRE_VIA,CUADRA,URBANIZACI,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMEN,PAIS,LONGITUDE,LATITUDE
CEI Capullo de Oro,0x2c05,colegio,,AV AREQUIPA,,AH MI PERU GRUPO C,,MI PERU,CALLAO,CALLAO,PERU,-77.126565,-11.857796
Colegio Fe y Alegria 33,0x2c05,colegio,,AV CUZCO,,AH MI PERU GRUPO M,,MI PERU,CALLAO,CALLAO,PERU,-77.121314,-11.856696
Estadio Municipal de Mi Peru,0x2c08,estadio,,AV AREQUIPA,,AH MI PERU GRUPO M,,MI PERU,CALLAO,CALLAO,PERU,-77.119578,-11.85728
PRONEI,0x2c05,colegio,,AV PUNO,,AH MI PERU GRUPO F,,MI PERU,CALLAO,CALLAO,PERU,-77.119751,-11.856464
Servicio de Salud Santa Rosa,0x3002,hospital,,CA RAFHA,,AH SANTA ROSA,,MI PERU,CALLAO,CALLAO,PERU,-77.117876,-11.851788
IE Pio Sarobe,0x2c05,colegio,,CA PIURA,,AH SE?OR DE LUREN,,MI PERU,CALLAO,CALLAO,PERU,-77.119291,-11.85314
Local Comunal Hijos de Mi Peru,0x2c05,colegio,,CA JERUSALEN,,AH HIJOS DE MI PERU,,MI PERU,CALLAO,CALLAO,PERU,-77.119542,-11.85161
IEP Virgen de las Nieves,0x2c05,colegio,,CA BETHEL,,AH VILLA DEL MAR,,MI PERU,CALLAO,CALLAO,PERU,-77.118286,-11.849889
CE 5119 Villa Emilia,0x2c05,colegio,,CA FICUS,,AH VILLA EMILIA,,MI PERU,CALLAO,CALLAO,PERU,-77.121504,-11.850373
Iglesia Adventista del Setimo Dia,0x2c0b,iglesia,,CA MARA?ON,,AH VILLA EMILIA,,MI PERU,CALLAO,CALLAO,PERU,-77.122083,-11.850677
IEP Inicial Virgen de las Nieves,0x2c05,colegio,,CA CEREZOS,,AH VILLA EMILIA,,MI PERU,CALLAO,CALLAO,PERU,-77.125761,-11.850532
IEP Dios es Amor,0x2c05,colegio,,AV TUMBES,,AH VILLA EMILIA,,MI PERU,CALLAO,CALLAO,PERU,-77.124949,-11.851678
Iglesia Evangelica Pentecostes,0x2c0b,iglesia,,AV AYACUCHO,,AH MI PERU GRUPO J,,MI PERU,CALLAO,CALLAO,PERU,-77.124949,-11.852943
PRONOEI Ni?o Jesusito 2,0x3003,public office,,AV TRUJILLO,,AH MI PERU GRUPO J,ALAMEDA J ALT. TRUJILLO,MI PERU,CALLAO,CALLAO,PERU,-77.123516,-11.85344
CP Ciro Alegria,0x2c05,colegio,,,,AH MI PERU GRUPO I,,MI PERU,CALLAO,CALLAO,PERU,-77.126459,-11.852998
IEP Pre Universitario San Juan,0x2c05,colegio,,AV TRUJILLO,,AH MI PERU GRUPO I,,MI PERU,CALLAO,CALLAO,PERU,-77.126481,-11.85364
Parroquia Nuestra Senora de las Mercedes,0x2c0b,iglesia,,AV HUAURA,,AH MI PERU GRUPO G,,MI PERU,CALLAO,CALLAO,PERU,-77.124529,-11.855549
Municipalidad Mi Peru,0x3003,public office,553-6120,AV AYACUCHO,,AH MI PERU GRUPO G,AYACUCHO G-7 LT. 6 C.P. MI PERU,MI PERU,CALLAO,CALLAO,PERU,-77.124861,-11.855025
Iglesia Evangelica Pentecostes,0x2c0b,iglesia,,AV HUAURA,,AH MI PERU GRUPO G,,MI PERU,CALLAO,CALLAO,PERU,-77.124175,-11.85556
Hotel Mi Peru,0x2b01,hotel,,AV AYACUCHO,,AH MI PERU GRUPO A,,MI PERU,CALLAO,CALLAO,PERU,-77.125332,-11.855199
Policlinico Sagrado Corazon,0x3002,hospital,,AV HUAURA,,AH MI PERU GRUPO A,,MI PERU,CALLAO,CALLAO,PERU,-77.125771,-11.855564
Iglesia de los Santos de los Ultimos Dias,0x2c0b,iglesia,,AV HUAURA,,AH MI PERU GRUPO A,,MI PERU,CALLAO,CALLAO,PERU,-77.126435,-11.855599
PRONOEI Virgen del Pilar,0x2c05,colegio,,AV HUAURA,,AH MI PERU GRUPO A,,MI PERU,CALLAO,CALLAO,PERU,-77.127466,-11.855606
Iglesia Cristiana Pentecostes,0x2c0b,iglesia,,AV HAYA DE LA TORRE,,AH MI PERU GRUPO B,,MI PERU,CALLAO,CALLAO,PERU,-77.128193,-11.856061
CEI Fermin Avila,0x2c05,colegio,,,,AH MI PERU GRUPO G,,MI PERU,CALLAO,CALLAO,PERU,-77.12339,-11.85484
Senati Ventanilla,0x2c05,instituto,,AV PEDRO BELTRAN,,,,VENTANILLA,CALLAO,CALLAO,PERU,-77.117414,-11.868638
Paradero Aleluya,0x2f08,paradero,,AV PRINCIPAL,,COOP VENTANILLA ALTA,,VENTANILLA,CALLAO,CALLAO,PERU,-77.108346,-11.874818
Municipalidad de la Perla,0x3003,public office,498-0074 / 498-0135 / 498-0121,CA JOSE PARDO,4,UB CALZADO PERUANO,JUAN JOSE PARDO 598 URB. BENJAMIN DOIG LOSSIO,LA PERLA,CALLAO,CALLAO,PERU,-77.108051,-12.065735
Virgen del Pilar (CEI),0x2c05,colegio,,PJE CACERES,,UB LOS PILARES,,CALLAO,CALLAO,CALLAO,PERU,-77.112336,-12.05473
Hostal Amara,0x2b01,hotel,(01) 457-0266,AV LA MARINA,9,UB MIRAFLORES,LA MARINA 972,LA PERLA,CALLAO,CALLAO,PERU,-77.111731,-12.069767
Hostal Paraiso Inn,0x2b01,hotel,,AV LA MARINA,10,UB LA ESTANCIA,,LA PERLA,CALLAO,CALLAO,PERU,-77.110386,-12.069259
Hostal California,0x2b01,hotel,,AV LA MARINA,10,UB JUAN PABLO II,,LA PERLA,CALLAO,CALLAO,PERU,-77.110508,-12.069219
Hostal,0x2b01,hotel,,AV LA MARINA,10,UB LOS CEREZOS,,LA PERLA,CALLAO,CALLAO,PERU,-77.111058,-12.070054
CEI Concordia Universal,0x2c05,colegio,,AV LA PAZ,14,UB MIRAMAR,,LA PERLA,CALLAO,CALLAO,PERU,-77.121717,-12.07299
IEI Santa Rosa,0x2c05,colegio,,AV SANTA ROSA,7,UB LA PERLA,,LA PERLA,CALLAO,CALLAO,PERU,-77.122864,-12.071445
Colegio Concordia Universal,0x2c05,colegio,(01) 637-7000,AV SANTA ROSA,4,UB LA PERLA,SANTA ROSA 448,LA PERLA,CALLAO,CALLAO,PERU,-77.121475,-12.06914
Hospital,0x3002,hospital,,AV TOMAS VALLE,30,UB EL CONDOR,,CALLAO,CALLAO,CALLAO,PERU,-77.092056,-12.012384
Centro de Instruccion de Aviacion Civil,0x2c05,instituto,,AV FAUCETT,,,,CALLAO,CALLAO,CALLAO,PERU,-77.104964,-12.025568
Los Licenciados de Ventanilla,0x2c05,colegio,,,,AH LOS LICENCIADOS DE VENTANILLA,,VENTANILLA,CALLAO,CALLAO,PERU,-77.131745,-11.878843
Iglesia Adventista del Setimo Dia,0x2c0b,iglesia,,AV PLAYA,,AH LOS LICENCIADOS DE VENTANILLA,,VENTANILLA,CALLAO,CALLAO,PERU,-77.131122,-11.877948
Politecnico 5086 de Ventanilla,0x2c05,instituto,,AV MONITOR HUASCAR,,,,VENTANILLA,CALLAO,CALLAO,PERU,-77.131013,-11.882662
Heroes del Pacifico de Angamos 5096,0x2c05,colegio,,CA CALLE 8,,AH HIJOS DE GRAU,,VENTANILLA,CALLAO,CALLAO,PERU,-77.132599,-11.886132
Instituto Educativo,0x2c05,instituto,,,,AH LOS LICENCIADOS DE VENTANILLA,,VENTANILLA,CALLAO,CALLAO,PERU,-77.12822,-11.87872
Instituto Educativo Frances Divino Maestro,0x2c05,colegio,,CA ESCORPION,,UB NAVAL,,VENTANILLA,CALLAO,CALLAO,PERU,-77.127401,-11.88623
Instituto Cevatec,0x2c05,instituto,,AV UNIVERSITARIA,10,,,CALLAO,CALLAO,CALLAO,PERU,-77.078513,-12.049635
Ovalo Centenario,0x2c06,parque,,OVALO CENTENARIO,,,,CALLAO,CALLAO,CALLAO,PERU,-77.125847,-12.050806
Parque Yahuar Huaca,0x2c06,parque,,AV GUARDIA CHALACA,22,UB SAN ANTONIO,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.121815,-12.063213
Cementerio Israelita,0x6403,cementerio,,AV MARISCAL OSCAR RAUL BENAVIDES,21,,,CALLAO,CALLAO,CALLAO,PERU,-77.120179,-12.057839
Cementerio Britanico,0x6403,cementerio,,AV MARISCAL OSCAR RAUL BENAVIDES,21,,,CALLAO,CALLAO,CALLAO,PERU,-77.12113,-12.057965
Bomberos Garibaldi 7,0x3008,bomberos,498-4370,AV LA MARINA,9,UB BENJAMIN DOIG LOSSIO II,AV. SAENZ PE?A 476,LA PERLA,CALLAO,CALLAO,PERU,-77.113066,-12.068445
Iglesia de Carmen de la Legua,0x2c0b,iglesia,,ENT ENTRADA A COLONIAL,,UB LA COLONIAL,,CALLAO,CALLAO,CALLAO,PERU,-77.097435,-12.053239
Hotel Ramada Costa del Sol *,0x2b01,hotel,711-2000 / 711-2001,AEROPUERTO JORGE CHAVEZ,,,AEROPUERTO INTERNACIONAL JORGE CHAVEZ S/N,CALLAO,CALLAO,CALLAO,PERU,-77.107276,-12.022694
Lima Cargo City,0x6402,edificio,,AV FAUCETT,,,,CALLAO,CALLAO,CALLAO,PERU,-77.103022,-12.028614
Iglesia San Jose de Bellavista,0x2c0b,iglesia,,,,,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.129104,-12.06211
Colegio America,0x2c05,colegio,,,,,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.129233,-12.061317
Sunarp sede Callao,0x3003,public office,453-2344 / 208-3100 / 0801-15000,AV SAENZ PE?A,13,,SAENZ PE?A 1329,CALLAO,CALLAO,CALLAO,PERU,-77.130849,-12.059195
Hospital Chalaco de la Solidaridad,0x3002,hospital,,AV TOMAS VALLE,,UB ZONA INDUSTRIAL,,CALLAO,CALLAO,CALLAO,PERU,-77.102273,-12.019832
Direccion Regional de Educacion,0x3003,public office,,,,UB CONFECCIONES MILITARES,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.113172,-12.060902
Cerro Cucaracha,0x6613,cerro,,,,,,VENTANILLA,CALLAO,CALLAO,PERU,-77.121576,-11.924856
Cerro la Cuchilla,0x6613,cerro,,,,,,VENTANILLA,CALLAO,CALLAO,PERU,-77.102691,-11.928022
Cerro Resbalon,0x6613,cerro,,,,,,VENTANILLA,CALLAO,CALLAO,PERU,-77.101135,-11.914387
Cerro Grande,0x6613,cerro,,,,,,VENTANILLA,CALLAO,CALLAO,PERU,-77.131385,-11.837599
Coliseo Cerrado Miguel Grau,0x2c08,coliseo,,AV OSCAR R BENAVIDES,22,UB SAN ANTONIO,,BELLAVISTA (CALLAO),CALLAO,CALLAO,PERU,-77.118144,-12.057951
Colegio Republica de Venezuela,0x2c05,colegio,,AV ARGENTINA,9,UB SANTA MARIA NORTE,,CALLAO,CALLAO,CALLAO,PERU,-77.130824,-12.051705
Colegio Augusto Cazorla,0x2c05,colegio,,AV REPUBLICA DE PANAMA,7,UB CHACARITAS,,CALLAO,CALLAO,CALLAO,PERU,-77.133892,-12.053093
Ransa,0x2f11,varios,,AV NESTOR GAMBETTA,,,,CALLAO,CALLAO,CALLAO,PERU,-77.129465,-12.022374
